,event,time_scal
2910,8,0.0346712962962963
2911,9,0.03467824074074074
2912,8,0.03467939814814815
2913,9,0.034700231481481485
2914,8,0.034701388888888886
2915,9,0.03470601851851852
2916,8,0.03471064814814815
38605,23,0.03471180555555556
2917,9,0.034715277777777775
2918,8,0.03471990740740741
38606,22,0.034722222222222224
38607,23,0.034784722222222224
38608,22,0.034798611111111113
38609,23,0.03487037037037037
38610,22,0.03487847222222222
38611,23,0.03492592592592592
38612,22,0.03493287037037037
38613,23,0.03500462962962963
38614,22,0.03501157407407408
38615,23,0.0350462962962963
38616,22,0.03505324074074074
38617,23,0.03509953703703704
38618,22,0.035125
38619,23,0.035152777777777776
38620,22,0.03515509259259259
38621,23,0.03526736111111111
2919,7,0.03535300925925926
2920,6,0.03535648148148148
38622,22,0.035395833333333335
2921,4,0.03629513888888889
38623,23,0.03631134259259259
38624,22,0.036313657407407406
2922,5,0.03645138888888889
2923,4,0.04868287037037037
2924,5,0.048907407407407406
2925,4,0.04907175925925926
2926,5,0.04909490740740741
2927,4,0.04921875
2928,5,0.049290509259259256
2929,4,0.049304398148148146
38625,23,0.04940625
2930,9,0.04949652777777778
2931,8,0.049519675925925925
2932,9,0.049526620370370374
2933,8,0.049527777777777775
2934,9,0.049540509259259256
2935,8,0.0495462962962963
2936,9,0.04979513888888889
2937,7,0.04980787037037037
2938,8,0.04980902777777778
2939,9,0.049810185185185187
2940,6,0.049811342592592595
2941,8,0.04982175925925926
2942,9,0.049824074074074076
2943,7,0.0498287037037037
2944,6,0.04983101851851852
2945,8,0.04983564814814815
2946,9,0.04985300925925926
2947,8,0.049854166666666665
2948,9,0.049859953703703705
2949,8,0.04986226851851852
2950,9,0.049868055555555554
2951,8,0.04986921296296296
2952,9,0.04990972222222222
2953,8,0.04991087962962963
2954,9,0.04991782407407407
2955,8,0.04991898148148148
2956,9,0.04992361111111111
2957,8,0.04992592592592593
38626,22,0.05000810185185185
2958,0,0.05017013888888889
2959,1,0.05022800925925926
2960,0,0.050263888888888886
2961,1,0.0503587962962963
38627,23,0.05047800925925926
2962,7,0.050486111111111114
2963,6,0.05049537037037037
38628,22,0.0505162037037037
38629,23,0.05078009259259259
38630,22,0.05083564814814815
38631,23,0.051744212962962964
38632,22,0.05178587962962963
38633,23,0.05375578703703704
38634,22,0.053766203703703705
2964,0,0.054030092592592595
2965,1,0.05409143518518519
38635,23,0.0543275462962963
38636,22,0.054329861111111113
38637,23,0.054375
38638,22,0.05438194444444444
38639,23,0.05444907407407407
38640,22,0.05445601851851852
38641,23,0.05449305555555556
38642,22,0.054496527777777776
38643,23,0.054532407407407404
38644,22,0.0545474537037037
38645,23,0.054641203703703706
38646,22,0.05470717592592592
38647,23,0.054732638888888886
38648,22,0.05483912037037037
2966,0,0.054969907407407405
38649,23,0.05504976851851852
2967,1,0.0550625
38650,22,0.055081018518518515
2968,0,0.057715277777777775
2969,1,0.05780324074074074
2970,19,0.057826388888888886
2971,18,0.0578287037037037
2972,19,0.057832175925925926
2973,18,0.05784375
2974,19,0.057902777777777775
2975,18,0.05790509259259259
2976,19,0.05793171296296296
2977,18,0.05793402777777778
2978,19,0.0579375
2979,18,0.05793981481481481
2980,19,0.05794560185185185
2981,18,0.05797337962962963
2982,19,0.05798148148148148
2983,18,0.05798263888888889
2984,19,0.0579837962962963
2985,21,0.05807060185185185
2986,18,0.05811458333333333
38651,23,0.05850231481481481
38652,22,0.05854398148148148
38653,23,0.05860763888888889
38654,22,0.05868981481481481
38655,23,0.058722222222222224
38656,22,0.05875231481481481
38657,23,0.05945949074074074
2987,0,0.05953009259259259
38658,22,0.05953356481481482
2988,1,0.05958796296296296
38659,23,0.059613425925925924
38660,22,0.05962268518518519
38661,23,0.05967708333333333
38662,22,0.05969675925925926
38663,23,0.05976041666666667
2989,0,0.059847222222222225
2990,1,0.06030208333333333
2991,0,0.06030208333333333
38664,22,0.06032638888888889
2992,1,0.0603599537037037
38665,23,0.06038773148148148
38666,22,0.060405092592592594
38667,23,0.06044097222222222
2993,0,0.06044907407407407
38668,22,0.06046296296296296
38669,23,0.0605
2994,1,0.06051388888888889
38670,22,0.060520833333333336
38671,23,0.06059606481481482
38672,22,0.06060763888888889
2995,20,0.06069907407407407
2996,5,0.060917824074074076
2997,4,0.06095138888888889
38673,23,0.06103240740740741
38674,22,0.06109722222222222
38675,23,0.06113194444444445
38676,22,0.061342592592592594
38677,23,0.06232523148148148
38678,22,0.062328703703703706
38679,23,0.06242824074074074
38680,22,0.06243055555555556
38681,23,0.06260648148148149
38682,22,0.0626087962962963
38683,23,0.0626412037037037
38684,22,0.06264351851851852
38685,23,0.06272337962962964
38686,22,0.06272685185185185
38687,23,0.06283912037037037
38688,22,0.06284143518518519
38689,23,0.06287962962962963
38690,22,0.06288657407407408
38691,23,0.06297800925925925
38692,22,0.06303125
38693,23,0.06306481481481481
38694,22,0.06307986111111111
38695,23,0.06310763888888889
38696,22,0.06312037037037037
38697,23,0.06315393518518518
38698,22,0.06327546296296296
38699,23,0.06330324074074074
38700,22,0.06337962962962963
38701,23,0.06341550925925926
38702,22,0.06341782407407408
38703,23,0.06353125
38704,22,0.06355208333333333
38705,23,0.06359722222222222
38706,22,0.06359953703703704
38707,23,0.06362962962962963
38708,22,0.06364236111111111
38709,23,0.06373032407407407
38710,22,0.06376967592592593
38711,23,0.06380902777777778
38712,22,0.0638113425925926
38713,23,0.06383912037037037
38714,22,0.06384143518518519
2998,0,0.06389236111111112
38715,23,0.06392939814814814
38716,22,0.0639363425925926
2999,1,0.06395370370370371
38717,23,0.06397222222222222
38718,22,0.06398263888888889
38719,23,0.06404861111111111
38720,22,0.06405092592592593
3000,0,0.06405902777777778
38721,23,0.06408101851851852
38722,22,0.06408449074074074
3001,1,0.06411805555555555
38723,23,0.06413194444444445
38724,22,0.06413425925925927
38725,23,0.06417939814814815
38726,22,0.06418171296296296
38727,23,0.06420833333333334
38728,22,0.06433101851851852
38729,23,0.06437037037037037
38730,22,0.06438541666666667
38731,23,0.06443402777777778
38732,22,0.06444097222222223
38733,23,0.06457754629629629
38734,22,0.06457986111111111
38735,23,0.06464814814814815
38736,22,0.06465046296296297
38737,23,0.0646875
38738,22,0.06469097222222223
38739,23,0.06472337962962962
38740,22,0.06472569444444444
38741,23,0.0647650462962963
38742,22,0.06476736111111112
38743,23,0.06481597222222223
38744,22,0.06483796296296296
38745,23,0.06487731481481482
38746,22,0.06487962962962963
38747,23,0.06494212962962963
38748,22,0.06494560185185186
38749,23,0.06500810185185185
38750,22,0.06504050925925926
